UNIQUE_ID,UNIQUE_ID2,STEPSEQ,LOT_ID,Wafer,P_EQPID,Photo_PPID,MMO_MRC_EQP,P_TIME,M_TIME,ChuckID,dCol,dRow,POS_X_VALN,POS_Y_VALN,RK1,RK2,RK3,RK4,RK5,RK6,RK7,RK8,RK9,RK10,RK11,RK12,RK13,RK14,RK15,RK16,RK17,RK18,RK19,RK20,RK21,RK22,RK23,RK24,RK25,RK26,RK27,RK28,RK29,RK30,RK31,RK32,RK33,RK34,RK35,RK36,RK37,RK38,RK39,RK40,RK41,RK42,RK43,RK44,RK45,RK46,RK47,RK48,RK49,RK50,RK51,RK52,RK53,RK54,RK55,RK56,RK57,RK58,RK59,RK60,RK61,RK62,RK63,RK64,RK65,RK66,RK67,RK68,RK69,RK70,RK71,RK72
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_-2,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-6,-2,-132687.723,-65880.0,0.0,-0.000289,0.0,-0.027314,0.0,0.008839,0.0,0.00036,0,0.00247,0.0,-0.000312,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_-1,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-6,-1,-132687.723,-32940.0,0.0,1.6e-05,0.0,0.032705,0.0,-0.025835,0.0,-0.000451,0,-0.004255,0.0,-0.00084,0.0,-0.000416,0,0.000441,0,0.000345,0.0,0,0,0.028549,0,-0.036813,0,-0.060693,0,0,0,0,0,0.132689,0,-0.028201,0,0.008987,0,0,0,0,0,0,0,0,0,0.007834,0,-0.086295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_0,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-6,0,-132687.723,0.0,0.0,-0.000213,0.0,0.02049,0.0,0.005084,0.0,0.000117,0,0.00068,0.0,0.000926,0.0,-0.000433,0,1.5e-05,0,0.000228,0.0,0,0,-0.014831,0,0.056787,0,0.104401,0,0,0,0,0,0.120108,0,-0.021995,0,-0.127007,0,0,0,0,0,0,0,0,0,-0.014802,0,-0.027633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_1,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-6,1,-132687.723,32940.0,0.0,-7e-06,0.0,0.007251,0.0,0.027598,0.0,0.000189,0,-0.002731,0.0,0.001902,0.0,-0.00015,0,0.000186,0,0.000302,0.0,0,0,-0.028416,0,0.125571,0,-0.035071,0,0,0,0,0,0.035434,0,-0.081401,0,-0.053279,0,0,0,0,0,0,0,0,0,0.007574,0,0.005261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-6_2,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-6,2,-132687.723,65880.0,0.0,-7.8e-05,0.0,-0.027622,0.0,0.122101,0.0,-0.000266,0,0.000773,0.0,-0.006738,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_-3,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-5,-3,-110104.043,-98820.0,0.0,-0.000165,0.0,0.067974,0.0,-0.032115,0.0,-0.003478,0,-0.000338,0.0,0.001916,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_-2,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-5,-2,-110104.043,-65880.0,0.0,3.4e-05,0.0,-0.004684,0.0,-0.020544,0.0,0.001119,0,-0.001093,0.0,0.001189,0.0,-0.000164,0,0.000266,0,0.00022,0.0,0,0,0.001373,0,0.045511,0,-0.095891,0,0,0,0,0,0.078352,0,-0.122012,0,-0.102677,0,0,0,0,0,0,0,0,0,-0.001469,0,0.011706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_-1,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-5,-1,-110104.043,-32940.0,0.0,-0.000199,0.0,0.028553,0.0,-0.022396,0.0,0.001645,0,0.000365,0.0,-0.000242,0.0,-0.000354,0,0.000233,0,2e-05,0.0,0,0,-0.060559,0,0.065693,0,0.260732,0,0,0,0,0,0.136394,0,-0.069727,0,-0.110411,0,0,0,0,0,0,0,0,0,-0.036507,0,-0.100817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_0,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-5,0,-110104.043,0.0,0.0,5.4e-05,0.0,0.024979,0.0,-0.006814,0.0,0.001638,0,-0.000706,0.0,-0.000539,0.0,-0.000337,0,1.8e-05,0,0.000161,0.0,0,0,-0.01879,0,0.212192,0,0.092295,0,0,0,0,0,0.073615,0,-0.010938,0,-0.022113,0,0,0,0,0,0,0,0,0,-0.074208,0,-0.055233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11_-5_1,VH075030,B3N049.1,11,PTVB827,3GJPBVH.VH075P,-,2024-05-30 15:39:37,2024-05-30 17:17:40,EX1,-5,1,-110104.043,32940.0,0.0,-0.000214,0.0,0.017459,0.0,0.000906,0.0,0.001339,0,-0.000777,0.0,-2.5e-05,0.0,-0.000474,0,-9.5e-05,0,0.000296,0.0,0,0,-0.081634,0,0.06752,0,0.202697,0,0,0,0,0,0.16093,0,0.006061,0,-0.121706,0,0,0,0,0,0,0,0,0,-0.013843,0,-0.068934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
